liquidity_scale,q_economic_intended,mean,std,count,ci_low,ci_high,outcome,support_rate,clipping_rate,panel,x,x_min,x_max,n,setting_id,setting_label,source_run_name,horizon,proxy,proxy_label,proxy_long_label,outcome_label,r2,beta,artifact_provenance
10.0,30.0,-0.03333333333333333,0.12577443714661585,60.0,-0.06515865696256704,-0.0015080097040996235,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,60.0,-0.48333333333333334,0.12909944487358055,60.0,-0.516,-0.45066666666666666,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,100.0,-0.025,0.49080528777558474,60.0,-0.14919087277797805,0.09919087277797806,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,160.0,-0.475,0.5160557715228403,60.0,-0.6055801267097157,-0.34441987329028423,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,260.0,-0.10833333333333334,0.8834239373637918,60.0,-0.33187043154066204,0.11520376487399536,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
,,2.4604761904761903,,,2.3644175203238875,2.556534860628493,mechanics,,,normalizer_curve,-260.0,-260.0,-260.0,1050.0,overnight_20260515,"liquidity sweep
L=1.5,2,3.5,10,50, |x|<=260",overnight_20260515,0.0,x_lots,x lots,treatment size $x$ (lots),mechanics,,,plots/build_evidence_synthesis_figures.py
,,1.5842857142857143,,,1.520302064086227,1.6482693644852016,mechanics,,,normalizer_curve,-160.0,-160.0,-160.0,1050.0,overnight_20260515,"liquidity sweep
L=1.5,2,3.5,10,50, |x|<=260",overnight_20260515,0.0,x_lots,x lots,treatment size $x$ (lots),mechanics,,,plots/build_evidence_synthesis_figures.py
,,1.020952380952381,,,0.9768947137610352,1.065010048143727,mechanics,,,normalizer_curve,-100.0,-100.0,-100.0,1050.0,overnight_20260515,"liquidity sweep
L=1.5,2,3.5,10,50, |x|<=260",overnight_20260515,0.0,x_lots,x lots,treatment size $x$ (lots),mechanics,,,plots/build_evidence_synthesis_figures.py
,,0.7971428571428572,,,0.766072231647567,0.8282134826381473,mechanics,,,normalizer_curve,-60.0,-60.0,-60.0,1050.0,overnight_20260515,"liquidity sweep
L=1.5,2,3.5,10,50, |x|<=260",overnight_20260515,0.0,x_lots,x lots,treatment size $x$ (lots),mechanics,,,plots/build_evidence_synthesis_figures.py
,,0.4380952380952381,,,0.4135685869833275,0.4626218892071487,mechanics,,,normalizer_curve,-30.0,-30.0,-30.0,1050.0,overnight_20260515,"liquidity sweep
L=1.5,2,3.5,10,50, |x|<=260",overnight_20260515,0.0,x_lots,x lots,treatment size $x$ (lots),mechanics,,,plots/build_evidence_synthesis_figures.py
,,0.2095238095238095,,,0.1943626619371498,0.2246849571104691,mechanics,,,normalizer_curve,-10.0,-10.0,-10.0,1050.0,overnight_20260515,"liquidity sweep
L=1.5,2,3.5,10,50, |x|<=260",overnight_20260515,0.0,x_lots,x lots,treatment size $x$ (lots),mechanics,,,plots/build_evidence_synthesis_figures.py
