x,x_min,x_max,mean,ci_low,ci_high,n,setting_id,setting_label,source_run_name,horizon,proxy,proxy_label,proxy_long_label,outcome,outcome_label
10.0,10.0,10.0,-0.2791666666666667,-0.3019590477427952,-0.25637428559053815,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),mechanics,mechanics
30.0,30.0,30.0,-0.61875,-0.6378050481259276,-0.5996949518740724,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),mechanics,mechanics
60.0,60.0,60.0,-1.040625,-1.0544612548111483,-1.0267887451888515,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),mechanics,mechanics
120.0,120.0,120.0,-1.7322916666666666,-1.7565946285440528,-1.7079887047892803,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),mechanics,mechanics
200.0,200.0,200.0,-2.482291666666667,-2.5268069443549273,-2.4377763889784063,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),mechanics,mechanics
300.0,300.0,300.0,-3.325,-3.400515454413345,-3.2494845455866552,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),mechanics,mechanics
420.0,420.0,420.0,-4.73125,-4.842017843615341,-4.620482156384659,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),mechanics,mechanics
-420.0,-420.0,-420.0,0.0,0.0,0.0,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),propagation,propagation
-300.0,-300.0,-300.0,0.0,0.0,0.0,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),propagation,propagation
-200.0,-200.0,-200.0,0.0,0.0,0.0,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),propagation,propagation
-120.0,-120.0,-120.0,0.0,0.0,0.0,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),propagation,propagation
-60.0,-60.0,-60.0,0.0,0.0,0.0,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),propagation,propagation
-30.0,-30.0,-30.0,0.0,0.0,0.0,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),propagation,propagation
-10.0,-10.0,-10.0,0.0,0.0,0.0,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),propagation,propagation
0.0,0.0,0.0,0.0,0.0,0.0,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),propagation,propagation
10.0,10.0,10.0,0.0,0.0,0.0,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),propagation,propagation
30.0,30.0,30.0,0.0,0.0,0.0,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),propagation,propagation
60.0,60.0,60.0,0.0,0.0,0.0,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),propagation,propagation
120.0,120.0,120.0,0.0,0.0,0.0,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),propagation,propagation
200.0,200.0,200.0,0.0,0.0,0.0,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),propagation,propagation
300.0,300.0,300.0,0.0,0.0,0.0,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),propagation,propagation
420.0,420.0,420.0,0.0,0.0,0.0,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),propagation,propagation
-420.0,-420.0,-420.0,-0.14791666666666667,-0.5205607951206601,0.2247274617873268,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,10.0,x_lots,x lots,treatment size $x$ (lots),propagation,propagation
