rho_alpha,rho_z,lambda_z,n_rows,residualizer,mean_estimate,bias,rmse,median_abs_error,ci_coverage,median_first_stage_f,weak_iv_failure_rate,n_rep
0.5,0.85,0.2,1200,linear_lag,0.3906935633921617,-0.029306436607838306,0.21246820814096154,0.12667421605671628,0.958,15.492004024812045,0.216,500
0.5,0.85,0.2,3000,flexible_crossfit,0.4161421802154318,-0.0038578197845681493,0.11877417177353343,0.07919933428578904,0.958,38.7720777548601,0.0,500
0.5,0.85,0.2,3000,linear_lag,0.4154657262857206,-0.0045342737142793485,0.11946910755109025,0.07870961993333456,0.956,39.620752861563155,0.0,500
0.5,0.85,0.5,1200,flexible_crossfit,0.41535206397181007,-0.004647936028189909,0.07583319111488808,0.05030056848140613,0.954,96.49761735028675,0.0,500
0.5,0.85,0.5,1200,linear_lag,0.4149710127635699,-0.005028987236430094,0.07552134863176597,0.05085751282649911,0.95,98.14074836803383,0.0,500
0.5,0.85,0.5,3000,flexible_crossfit,0.420876205832286,0.0008762058322860262,0.04588524761770738,0.030631115257230918,0.962,243.10042896943202,0.0,500
0.5,0.85,0.5,3000,linear_lag,0.4207122767283554,0.0007122767283554778,0.046144668745391214,0.031811046896666445,0.954,245.81601788743995,0.0,500
0.8,0.0,0.05,1200,flexible_crossfit,13.42295486518955,13.002954865189547,282.22812012178224,0.5059653359498437,0.968,0.9129424451333197,0.99,500
0.8,0.0,0.05,1200,linear_lag,-0.9709526060438585,-1.3909526060438584,34.80962401724834,0.5017204840392386,0.972,0.9100833730233258,0.988,500
0.8,0.0,0.05,3000,flexible_crossfit,0.36019131800729,-0.05980868199271,4.2718037934241275,0.33124418069806993,0.96,2.3092170999283796,0.954,500
0.8,0.0,0.05,3000,linear_lag,-22.38318701610324,-22.803187016103237,498.67502554265633,0.3372828158743706,0.962,2.3475618691843536,0.948,500
0.8,0.0,0.2,1200,flexible_crossfit,0.385777689248572,-0.034222310751428,0.2295882047514374,0.12728312153724441,0.952,14.033504487730102,0.264,500
0.8,0.0,0.2,1200,linear_lag,0.3855594861219194,-0.03444051387808061,0.2259663892328876,0.13103733609212823,0.956,14.233455440748969,0.27,500
0.8,0.0,0.2,3000,flexible_crossfit,0.415328364381562,-0.004671635618438008,0.12320039128678481,0.08075266086775415,0.956,36.00377362126733,0.0,500
0.8,0.0,0.2,3000,linear_lag,0.414993016332202,-0.005006983667797969,0.12396411484391825,0.0820971262296846,0.952,36.247199953140786,0.0,500
0.8,0.0,0.5,1200,flexible_crossfit,0.4149207095840735,-0.005079290415926498,0.07866708264065107,0.052485802902983575,0.946,88.07530003122079,0.0,500
0.8,0.0,0.5,1200,linear_lag,0.4143760114803332,-0.005623988519666806,0.078340108563875,0.05396509915034198,0.944,89.77137054534558,0.0,500
0.8,0.0,0.5,3000,flexible_crossfit,0.4209924004505037,0.000992400450503709,0.04752754472037448,0.032170625112466905,0.956,223.45977658078044,0.0,500
0.8,0.0,0.5,3000,linear_lag,0.42087507191190987,0.0008750719119098787,0.04766386027376683,0.03356792516998866,0.958,224.89260878131648,0.0,500
0.8,0.62,0.05,1200,flexible_crossfit,-5.201179191953693,-5.621179191953693,124.53871920334292,0.501150400685498,0.962,0.9686334594726738,0.986,500
0.8,0.62,0.05,1200,linear_lag,0.682393988357048,0.2623939883570482,34.963888103524496,0.5058949419681209,0.972,0.917631957821184,0.988,500
0.8,0.62,0.05,3000,flexible_crossfit,-0.565492109264972,-0.985492109264972,14.59601990646015,0.3247423137892127,0.96,2.3044865474193448,0.956,500
0.8,0.62,0.05,3000,linear_lag,0.5690606289977567,0.14906062899775674,11.349491770618002,0.32763082283890277,0.96,2.34429426807292,0.95,500
0.8,0.62,0.2,1200,flexible_crossfit,0.3862484516851093,-0.0337515483148907,0.22800365701571873,0.13345717509864188,0.946,14.049003406438938,0.268,500
0.8,0.62,0.2,1200,linear_lag,0.385166569624965,-0.034833430375034974,0.22606268568189863,0.12743178972244878,0.954,14.202360830878437,0.268,500
0.8,0.62,0.2,3000,flexible_crossfit,0.4156162884891989,-0.004383711510801106,0.12347652194325281,0.08083203454801752,0.958,35.86101449091532,0.0,500
0.8,0.62,0.2,3000,linear_lag,0.4149985016618958,-0.005001498338104227,0.12429737749882415,0.08173191829004625,0.954,36.29952351250977,0.0,500
0.8,0.62,0.5,1200,flexible_crossfit,0.41490467713605106,-0.005095322863948909,0.07873674182135669,0.052384108312500594,0.946,88.26291440378927,0.0,500
0.8,0.62,0.5,1200,linear_lag,0.414202448810964,-0.005797551189035944,0.07859310898088426,0.05260441576607747,0.95,89.41699638897038,0.0,500
0.8,0.62,0.5,3000,flexible_crossfit,0.4210738642420237,0.001073864242023729,0.04769949180832035,0.033309085200385946,0.956,222.9823769694747,0.0,500
0.8,0.62,0.5,3000,linear_lag,0.42085815771272533,0.0008581577127253864,0.04790826456254235,0.03408297216402875,0.956,225.0440179917105,0.0,500
0.8,0.85,0.05,1200,flexible_crossfit,0.022775679602604213,-0.3972243203973958,8.152990183666443,0.5020141110785871,0.964,0.9858518769442801,0.986,500
0.8,0.85,0.05,1200,linear_lag,0.18835934188638542,-0.23164065811361456,7.7786733451497945,0.5120950767483786,0.976,0.9036394373619696,0.988,500
0.8,0.85,0.05,3000,flexible_crossfit,0.5357354104771289,0.11573541047712885,3.288598841442688,0.32427847659174924,0.96,2.2859920122909765,0.954,500
0.8,0.85,0.05,3000,linear_lag,-1.2024392548207379,-1.6224392548207378,24.978770631802245,0.3311431832940856,0.96,2.3471972158062084,0.952,500
0.8,0.85,0.2,1200,flexible_crossfit,0.3859773039720211,-0.034022696027978874,0.22851485502367022,0.1315653749534706,0.948,14.05949112767556,0.274,500
0.8,0.85,0.2,1200,linear_lag,0.38486268162599496,-0.035137318374005015,0.22654773194081773,0.13127428570372174,0.958,14.183503452891472,0.266,500
0.8,0.85,0.2,3000,flexible_crossfit,0.4156056456433557,-0.004394354356644236,0.12296987144755049,0.07973680684164755,0.958,35.738070179398875,0.0,500
0.8,0.85,0.2,3000,linear_lag,0.4148202234657696,-0.005179776534230411,0.12427127955891164,0.08184141897180913,0.956,36.14693528953837,0.0,500
0.8,0.85,0.5,1200,flexible_crossfit,0.4147171394706643,-0.005282860529335686,0.07916045752373302,0.05248790444292431,0.946,88.18232189518349,0.0,500
0.8,0.85,0.5,1200,linear_lag,0.4141456244389831,-0.005854375561016853,0.07901206186868107,0.053537499546528616,0.95,89.51027869470255,0.0,500
0.8,0.85,0.5,3000,flexible_crossfit,0.42101811878005296,0.001018118780053029,0.04740684180877888,0.033499159353759966,0.96,222.76229268053066,0.0,500
0.8,0.85,0.5,3000,linear_lag,0.4207797293718563,0.0007797293718563393,0.04784839718935164,0.03354590552182027,0.956,224.57030344066334,0.0,500
0.95,0.0,0.05,1200,flexible_crossfit,0.703746030977867,0.283746030977867,5.9120172011562575,0.5131539661244862,0.958,0.932259906461815,0.99,500
0.95,0.0,0.05,1200,linear_lag,0.5215994336166654,0.10159943361666543,25.75428346803502,0.5208656229680086,0.968,0.9004737871772979,0.988,500
0.95,0.0,0.05,3000,flexible_crossfit,0.3381678058609264,-0.08183219413907364,6.047641025197417,0.3375302055492164,0.958,2.297166085547068,0.954,500
0.95,0.0,0.05,3000,linear_lag,-0.02496632897253947,-0.4449663289725394,4.47070502669377,0.3368328374195166,0.958,2.2703126978537336,0.954,500
0.95,0.0,0.2,1200,flexible_crossfit,0.38230497046317036,-0.03769502953682959,0.24157259458673075,0.1374132077906366,0.948,13.261538736129904,0.302,500
0.95,0.0,0.2,1200,linear_lag,0.3819029805998629,-0.0380970194001371,0.23802325445269834,0.13695779057605467,0.95,13.542350097417682,0.298,500
0.95,0.0,0.2,3000,flexible_crossfit,0.41513075657170173,-0.004869243428298238,0.12513455348798255,0.08426349324760685,0.956,34.445300848444134,0.0,500
0.95,0.0,0.2,3000,linear_lag,0.4144871327899135,-0.005512867210086449,0.1264868487277687,0.08510392919351156,0.956,34.561714893845476,0.0,500
0.95,0.0,0.5,1200,flexible_crossfit,0.41500546810818384,-0.004994531891816142,0.08034226287173427,0.055015287123608037,0.952,83.55880109285545,0.0,500
0.95,0.0,0.5,1200,linear_lag,0.4142277838189166,-0.005772216181083352,0.08033598305514703,0.055582973074585956,0.948,84.7018730416026,0.0,500
0.95,0.0,0.5,3000,flexible_crossfit,0.42115196443407477,0.001151964434074811,0.048194384031830045,0.032498266095406264,0.956,212.83621016058078,0.0,500
0.95,0.0,0.5,3000,linear_lag,0.42092186227838174,0.000921862278381795,0.04854349200049751,0.03289507041547421,0.96,214.3627230220323,0.0,500
0.95,0.62,0.05,1200,flexible_crossfit,0.7779771065757428,0.3579771065757429,12.175461805837053,0.5307037057730435,0.96,0.9327439719061773,0.988,500
0.95,0.62,0.05,1200,linear_lag,-0.13316291412184741,-0.5531629141218474,13.140997191194176,0.5197655148178606,0.966,0.8760966344250009,0.988,500
0.95,0.62,0.05,3000,flexible_crossfit,0.2563813372147836,-0.16361866278521636,2.287232542843218,0.33775527577093295,0.958,2.2710494153458827,0.954,500
0.95,0.62,0.05,3000,linear_lag,-0.3266650601162768,-0.7466650601162768,8.411776194858477,0.33576371983960684,0.954,2.2726233089930323,0.954,500
0.95,0.62,0.2,1200,flexible_crossfit,0.38354565861707535,-0.036454341382924665,0.23786857288944777,0.14044025666101265,0.944,13.290438578621064,0.304,500
0.95,0.62,0.2,1200,linear_lag,0.3819860839085113,-0.03801391609148868,0.23800766361239845,0.1360987425232256,0.95,13.506264236930518,0.3,500
0.95,0.62,0.2,3000,flexible_crossfit,0.41554260051454567,-0.004457399485454349,0.12561381470676833,0.08325826193589339,0.954,34.458384601709305,0.0,500
0.95,0.62,0.2,3000,linear_lag,0.4146830328426308,-0.0053169671573692215,0.12700424689892167,0.08595190021225665,0.956,34.557484788072415,0.0,500
0.95,0.62,0.5,1200,flexible_crossfit,0.4151289697011733,-0.004871030298826725,0.08019188309062171,0.0569713668962081,0.948,83.26387827473056,0.0,500
0.95,0.62,0.5,1200,linear_lag,0.41420201305898185,-0.005797986941018166,0.08053972543572485,0.054383326523442715,0.944,84.29977642424473,0.0,500
0.95,0.62,0.5,3000,flexible_crossfit,0.4213233374526876,0.0013233374526875424,0.0484806831003546,0.033752445582647256,0.96,213.07316411645868,0.0,500
0.95,0.62,0.5,3000,linear_lag,0.4210014651818544,0.0010014651818543783,0.04889052312768653,0.034592433761811175,0.956,213.45645616469443,0.0,500
0.95,0.85,0.05,1200,flexible_crossfit,0.32942168905720487,-0.09057831094279517,6.837170516312613,0.5172248580435667,0.954,0.9305921639054506,0.988,500
0.95,0.85,0.05,1200,linear_lag,0.025921415119354592,-0.3940785848806454,9.205989208692863,0.5164792620423607,0.962,0.8744420977401338,0.988,500
0.95,0.85,0.05,3000,flexible_crossfit,0.5097221779407677,0.08972217794076776,8.354288281763793,0.3387661272057668,0.958,2.263949870826008,0.952,500
0.95,0.85,0.05,3000,linear_lag,-0.3799718758554842,-0.7999718758554842,9.608115198643448,0.33401055375708494,0.954,2.2489949687156336,0.956,500
0.95,0.85,0.2,1200,flexible_crossfit,0.38335095072560416,-0.03664904927439584,0.238723991639538,0.13884111386564285,0.946,13.191606069488266,0.306,500
0.95,0.85,0.2,1200,linear_lag,0.3812797053628189,-0.03872029463718108,0.238757673786749,0.13987509578216356,0.952,13.430089281663573,0.302,500
0.95,0.85,0.2,3000,flexible_crossfit,0.4155807395615197,-0.004419260438480318,0.1254579152891561,0.08233982838289527,0.96,34.35927252336914,0.0,500
0.95,0.85,0.2,3000,linear_lag,0.41477172479115204,-0.005228275208847956,0.1271670920224441,0.0854884892692433,0.952,34.44308862674387,0.0,500
0.95,0.85,0.5,1200,flexible_crossfit,0.41492064717845945,-0.005079352821540542,0.08058049864736161,0.0560314329119978,0.944,83.20503143222106,0.0,500
0.95,0.85,0.5,1200,linear_lag,0.4139244071530811,-0.006075592846918859,0.08099647653506921,0.05512450885704451,0.944,84.74973385561873,0.0,500
0.95,0.85,0.5,3000,flexible_crossfit,0.42125798073560344,0.0012579807356034617,0.04828580362422091,0.03322439480486994,0.96,212.44267037963533,0.0,500
0.95,0.85,0.5,3000,linear_lag,0.4209874742876524,0.0009874742876524191,0.04890461333033784,0.03500019086588324,0.952,212.93027279974535,0.0,500
